"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 01 21:11:32 WAT 2022","Thu Dec 01 21:11:43 WAT 2022","11061","Default Suite","Facebook_Test","SeleniumWebSignupTest","SeleniumWebSignupTest","negativeSignup","negativeSignup",""
"passed","Thu Dec 01 21:11:50 WAT 2022","Thu Dec 01 21:11:51 WAT 2022","1265","Default Suite","Facebook_Test","SeleniumWebSignupTest","SeleniumWebSignupTest","logoutSuccesfully1","logoutSuccesfully1",""
"passed","Thu Dec 01 21:11:06 WAT 2022","Thu Dec 01 21:11:11 WAT 2022","5308","Default Suite","Facebook_Test","SeleniumWebSignupTest","SeleniumWebSignupTest","clickUser1Item","clickUser1Item",""
"passed","Thu Dec 01 21:10:50 WAT 2022","Thu Dec 01 21:11:02 WAT 2022","11975","Default Suite","Facebook_Test","SeleniumWebSignupTest","SeleniumWebSignupTest","positiveSignup","positiveSignup",""
"passed","Thu Dec 01 21:11:43 WAT 2022","Thu Dec 01 21:11:50 WAT 2022","6847","Default Suite","Facebook_Test","SeleniumWebSignupTest","SeleniumWebSignupTest","invalidEmail_SignUp","invalidEmail_SignUp",""
"passed","Thu Dec 01 21:11:22 WAT 2022","Thu Dec 01 21:11:32 WAT 2022","10214","Default Suite","Facebook_Test","SeleniumWebSignupTest","SeleniumWebSignupTest","logoutSuccesfully","logoutSuccesfully",""
"passed","Thu Dec 01 21:12:02 WAT 2022","Thu Dec 01 21:12:13 WAT 2022","11322","Default Suite","Facebook_Test","SeleniumWebSignupTest","SeleniumWebSignupTest","negative_BlankSignup","negative_BlankSignup",""
"passed","Thu Dec 01 21:11:51 WAT 2022","Thu Dec 01 21:12:02 WAT 2022","10775","Default Suite","Facebook_Test","SeleniumWebSignupTest","SeleniumWebSignupTest","negativeSignIn","negativeSignIn",""
"passed","Thu Dec 01 21:11:11 WAT 2022","Thu Dec 01 21:11:16 WAT 2022","5022","Default Suite","Facebook_Test","SeleniumWebSignupTest","SeleniumWebSignupTest","verifyItem","verifyItem",""
"passed","Thu Dec 01 21:11:16 WAT 2022","Thu Dec 01 21:11:21 WAT 2022","5264","Default Suite","Facebook_Test","SeleniumWebSignupTest","SeleniumWebSignupTest","verifyUserItem","verifyUserItem",""
